title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Carrying Your Love With Me,George Strait,0.629,0.479,10,-10.608,1,0.0271,0.22,0.0,0.0587,0.345,138.231
Homemade,Jake Owen,0.51,0.838,6,-2.702,1,0.0469,0.396,0.0,0.195,0.574,145.922
Love Someone,Brett Eldredge,0.423,0.813,9,-5.011,1,0.0507,0.218,1.62e-06,0.0732,0.421,173.995
Dust On The Bottle,David Lee Murphy,0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.942
Meet In the Middle,Diamond Rio,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11
I Hope,Gabby Barrett,0.561,0.536,6,-6.227,1,0.0346,0.0951,0.0,0.114,0.378,150.01
Beer Can’t Fix,Thomas Rhett,0.711,0.774,7,-4.068,1,0.0308,0.0317,0.0,0.124,0.939,111.016
Kiss Somebody,Morgan Evans,0.57,0.684,6,-7.054,1,0.0465,0.136,0.0,0.205,0.531,89.012
Day Drunk,Morgan Evans,0.647,0.754,10,-5.446,1,0.0378,0.015,0.0,0.0684,0.755,97.005
God's Country,Blake Shelton,0.536,0.754,10,-5.102,1,0.0399,0.0597,4.92e-06,0.118,0.212,139.988
Hell Right (feat. Trace Adkins),Blake Shelton,0.547,0.829,2,-6.156,1,0.0484,0.085,1.67e-05,0.132,0.53,75.966
She Got the Best of Me,Luke Combs,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99
Knockin' Boots,Luke Bryan,0.739,0.682,2,-3.728,1,0.205,0.129,0.0,0.328,0.634,131.983
Caught Up In The Country,Rodney Atkins,0.603,0.807,7,-6.999,1,0.045,0.0123,0.0,0.539,0.685,124.099
Night Shift,Jon Pardi,0.63,0.754,2,-3.564,1,0.0284,0.0963,0.0,0.268,0.73,95.999
Take It From Me,Jordan Davis,0.592,0.891,10,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983
One Man Band,Old Dominion,0.706,0.358,6,-8.331,1,0.0348,0.677,0.0,0.107,0.478,75.991
Make It Sweet,Old Dominion,0.424,0.837,7,-4.453,1,0.0472,0.0373,0.0,0.0665,0.555,180.166
Beer Never Broke My Heart,Luke Combs,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001
Up Down (feat. Florida Georgia Line),Morgan Wallen,0.589,0.882,6,-3.039,1,0.035,0.0813,0.0,0.146,0.793,129.915
Life Changes,Thomas Rhett,0.687,0.845,7,-4.37,1,0.0576,0.1,0.0,0.0452,0.809,87.972
Love Ain't,Eli Young Band,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007
Burning Man,Dierks Bentley,0.609,0.807,5,-7.221,1,0.0972,0.00403,5.42e-06,0.0926,0.492,119.073
Look What God Gave Her,Thomas Rhett,0.739,0.85,2,-3.966,1,0.0308,0.0272,0.0,0.181,0.883,113.0
Good as You,Kane Brown,0.626,0.516,8,-6.05,1,0.0388,0.4,0.0,0.142,0.769,153.653
Down To The Honkytonk,Jake Owen,0.634,0.808,3,-4.12,1,0.0517,0.192,0.0,0.0898,0.937,82.016
I Was Jack (You Were Diane),Jake Owen,0.604,0.868,6,-3.539,1,0.0445,0.086,0.0,0.0502,0.553,94.057
Good Girl,Dustin Lynch,0.711,0.696,7,-5.05,1,0.0869,0.16,0.0,0.17,0.694,80.512
Living,Dierks Bentley,0.517,0.813,1,-6.325,1,0.0558,0.0153,0.0,0.106,0.444,83.005
Every Little Thing,Russell Dickerson,0.638,0.854,1,-4.664,1,0.11,0.216,0.0,0.0357,0.859,93.869
Good Vibes,Chris Janson,0.582,0.846,0,-2.771,1,0.0451,0.022,0.0,0.133,0.736,92.004
I'd Be Jealous Too,Dustin Lynch,0.716,0.718,0,-5.355,1,0.0293,0.0896,0.0,0.473,0.537,100.934
Heartache Medication,Jon Pardi,0.621,0.791,9,-3.343,1,0.0265,0.0361,0.0,0.143,0.734,95.075
For The First Time,Darius Rucker,0.547,0.804,6,-5.268,1,0.0361,0.00738,0.0,0.0308,0.666,142.016
One Margarita,Luke Bryan,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.0,0.169,0.738,89.997
Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,Rehab,0.667,0.673,4,-6.006,1,0.0536,0.117,0.0,0.343,0.706,151.834
"Lover, Lover",Jerrod Niemann,0.879,0.567,7,-6.509,1,0.0588,0.186,0.0,0.622,0.948,112.473
Born in the U.S.A.,Bruce Springsteen,0.395,0.948,4,-6.98,1,0.0631,0.00352,3.47e-05,0.327,0.547,121.742
Walk Like an Egyptian,The Bangles,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022
Use Somebody,Kings of Leon,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028
Zombie,The Cranberries,0.293,0.644,7,-9.505,1,0.0383,0.0312,0.00556,0.367,0.248,167.211
99 Luftballons,Nena,0.667,0.552,4,-7.443,1,0.0436,0.0451,2e-06,0.114,0.53,96.664
Runaway Train,Soul Asylum,0.614,0.713,0,-8.07,1,0.0434,0.0143,0.0,0.115,0.561,117.351
"Whenever, Wherever",Shakira,0.793,0.832,1,-4.862,0,0.0406,0.236,1.12e-05,0.202,0.872,107.661
Remember the Time,Michael Jackson,0.834,0.891,8,-3.458,1,0.0594,0.134,0.00422,0.2,0.787,107.894
Somebody That I Used To Know (feat. Kimbra),Gotye,0.865,0.511,0,-6.983,1,0.0362,0.544,9.92e-05,0.102,0.774,129.057
Nothing Compares 2 U,Sinéad O'Connor,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917
Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
Eye of the Tiger,Survivor,0.824,0.556,0,-10.711,0,0.033,0.146,0.000394,0.0839,0.566,108.858
Drive By,Train,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028
Two Princes,Spin Doctors,0.539,0.951,7,-8.134,1,0.0644,0.00202,1.14e-06,0.06,0.827,103.544
Tell It to My Heart,Taylor Dayne,0.678,0.959,1,-8.806,1,0.0507,0.0471,6.39e-05,0.305,0.833,118.108
Broken Wings,Mr. Mister,0.29,0.623,1,-9.959,0,0.038,0.108,2.39e-05,0.187,0.422,99.126
Self Esteem,The Offspring,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56
Out of Touch - Single Version,Daryl Hall & John Oates,0.803,0.718,9,-6.457,0,0.0357,0.082,0.00094,0.0791,0.933,115.023
Hey Ya! - Radio Mix / Club Mix,Outkast,0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505
Down Under,Men At Work,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231
7 Seconds (feat. Neneh Cherry),Youssou N'Dour,0.68,0.702,1,-9.621,0,0.0267,0.0838,1.79e-06,0.326,0.509,154.198
You,Ten Sharp,0.405,0.901,11,-7.905,0,0.0315,0.426,0.0185,0.188,0.666,174.041
You're the Voice,John Farnham,0.369,0.762,10,-8.993,1,0.0464,0.22,2.8e-05,0.579,0.644,84.957
Your Love,The Outfield,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
Uprising,Muse,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019
Hold the Line,TOTO,0.494,0.86,6,-6.663,0,0.0563,0.0114,0.0088,0.17,0.777,145.306
Eternal Flame,The Bangles,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989
I'd Do Anything for Love (But I Won't Do That),Meat Loaf,0.321,0.6,2,-9.346,1,0.126,0.445,3.57e-06,0.146,0.362,76.528
Moonlight Shadow - Remastered,Mike Oldfield,0.62,0.69,4,-9.882,1,0.0267,0.262,2.53e-06,0.235,0.821,128.347
Running Up That Hill (A Deal With God),Kate Bush,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375
Summer Of '69,Bryan Adams,0.505,0.876,2,-4.867,1,0.0415,0.0148,0.0,0.118,0.718,138.862
Angels,Robbie Williams,0.431,0.59,4,-6.362,1,0.0284,0.163,1.11e-05,0.0981,0.257,150.193
Time After Time,Cyndi Lauper,0.728,0.454,0,-9.281,1,0.0278,0.512,1.39e-06,0.0831,0.323,130.368
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609
Nobody's Wife,Anouk,0.506,0.903,6,-6.684,1,0.0374,0.00764,6.06e-05,0.144,0.5,98.074
One,Metallica,0.444,0.703,7,-9.443,1,0.0641,0.00112,0.0761,0.127,0.419,106.228
One,U2,0.556,0.616,0,-5.76,1,0.0275,0.242,0.00137,0.148,0.286,90.759
It's My Life,Dr. Alban,0.655,0.933,7,-7.703,1,0.0536,0.00332,0.0365,0.0983,0.472,128.701
Don't Answer Me,The Alan Parsons Project,0.617,0.788,0,-8.561,1,0.0304,0.0586,0.000174,0.23,0.599,115.083
Sexual Healing,Marvin Gaye,0.799,0.602,0,-9.714,0,0.061,0.117,0.000267,0.0658,0.717,94.333
Africa,TOTO,0.693,0.582,9,-9.341,1,0.0297,0.204,0.00027,0.0508,0.678,92.667
Ironic,Alanis Morissette,0.456,0.635,11,-5.731,1,0.0573,0.245,0.0,0.194,0.293,170.652
Clocks,Coldplay,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97
There Must Be an Angel (Playing With My Heart),Eurythmics,0.539,0.672,0,-11.36,1,0.0472,0.342,1.05e-05,0.123,0.611,112.399
Thriller - Single Version,Michael Jackson,0.775,0.815,11,-5.639,1,0.0477,0.0934,3.4e-05,0.256,0.835,118.402
Walk on the Wild Side - Remastered,Lou Reed,0.568,0.329,0,-15.595,1,0.0706,0.66,2.11e-05,0.108,0.394,104.514
Rock Me Amadeus - The Gold Mix,Falco,0.575,0.932,4,-5.04,0,0.109,0.322,0.000627,0.07,0.935,177.745
Smells Like Teen Spirit,Nirvana,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
My Immortal,Evanescence,0.216,0.261,9,-9.259,1,0.0321,0.874,0.0,0.134,0.092,75.443
November Rain,Guns N' Roses,0.274,0.679,11,-8.3,1,0.0316,0.0184,0.223,0.0946,0.225,77.641
Rolling In The Deep,Adele,0.729,0.777,8,-5.112,1,0.0293,0.13,0.0,0.0541,0.527,104.946
It's Raining Men,The Weather Girls,0.692,0.856,1,-7.786,1,0.0696,0.0468,0.507,0.252,0.576,136.913
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024
I'm so Excited,The Pointer Sisters,0.601,0.611,5,-11.769,0,0.0355,0.0211,0.0418,0.0609,0.795,183.086
Torn,Natalie Imbruglia,0.576,0.847,5,-6.509,1,0.0327,0.0649,0.000163,0.669,0.59,96.312
Love & Pride,King,0.761,0.542,9,-9.911,0,0.0327,0.0664,6.49e-06,0.0815,0.763,126.014
Let's Get Loud,Jennifer Lopez,0.82,0.937,5,-4.81,0,0.0551,0.135,0.000128,0.35,0.906,130.993
Killing Me Softly With His Song,Fugees,0.765,0.437,4,-10.122,0,0.0727,0.0271,1.31e-06,0.167,0.498,92.402
Boogie Wonderland (with The Emotions),"Earth, Wind & Fire",0.805,0.833,2,-9.644,0,0.0331,0.0985,0.0212,0.0205,0.968,131.805
Girls Just Want to Have Fun,Cyndi Lauper,0.707,0.798,6,-4.874,1,0.0319,0.181,0.000663,0.363,0.774,120.398
The Promise You Made,Cock Robin,0.708,0.561,0,-8.426,1,0.0366,0.413,0.0626,0.19,0.654,117.029
Total Eclipse of the Heart,Bonnie Tyler,0.428,0.644,8,-7.582,1,0.0628,0.205,0.0,0.119,0.113,129.432
Left Outside Alone,Anastacia,0.668,0.744,2,-3.554,0,0.0349,0.0959,0.0,0.0918,0.325,102.845
Should I Stay or Should I Go - Remastered,The Clash,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
"Hey, Soul Sister",Train,0.673,0.883,1,-4.538,0,0.0419,0.198,0.0,0.081,0.78,97.018
Black Betty,Ram Jam,0.465,0.865,11,-9.573,0,0.098,0.018,0.00135,0.0769,0.677,117.528
Jump,Van Halen,0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138
Gimme All Your Lovin',ZZ Top,0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059
Brothers In Arms,Dire Straits,0.413,0.296,8,-13.904,0,0.0277,0.531,0.801,0.183,0.144,79.273
Losing My Religion,R.E.M.,0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437
"When the Going Gets Tough, The Tough Get Going",Billy Ocean,0.755,0.763,4,-6.318,1,0.0473,0.405,0.0,0.318,0.932,122.045
Kyrie - Single Version,Mr. Mister,0.387,0.605,0,-11.919,1,0.0364,0.073,0.0,0.13,0.66,89.626
Livin' on the Edge,Aerosmith,0.409,0.851,2,-4.613,1,0.0315,0.00146,0.00719,0.368,0.306,84.761
Rag Doll,Aerosmith,0.596,0.954,4,-3.251,1,0.0639,0.112,0.0,0.0446,0.562,93.376
Amazing,Aerosmith,0.377,0.765,0,-4.035,1,0.0355,0.0202,2.23e-05,0.427,0.271,139.464
Love in an Elevator,Aerosmith,0.445,0.956,4,-4.611,1,0.0665,0.0198,0.00675,0.351,0.594,93.637
Are You Gonna Go My Way,Lenny Kravitz,0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269
Don't You (Forget About Me) - Remastered 2001,Simple Minds,0.666,0.788,2,-7.02,1,0.0276,0.0884,0.0628,0.298,0.675,111.257
Roxanne,The Police,0.621,0.661,0,-12.668,1,0.375,0.0342,6.12e-06,0.0393,0.704,134.024
Chasing Cars,Snow Patrol,0.556,0.595,9,-4.51,1,0.0275,0.214,8.33e-05,0.125,0.144,104.001
Every Breath You Take,The Police,0.825,0.449,1,-9.859,1,0.0348,0.574,0.0034,0.0726,0.738,117.399
Feel,Robbie Williams,0.599,0.732,5,-6.843,1,0.026,0.0145,0.000467,0.143,0.295,97.997
Nothing Else Matters,Metallica,0.558,0.364,4,-11.258,0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,0.693,0.353,0,-17.852,1,0.0414,0.0704,0.00113,0.503,0.75,104.143
In The Air Tonight,Phil Collins,0.586,0.234,2,-14.195,0,0.0277,0.755,1.53e-05,0.0893,0.334,94.643
Livin' On A Prayer,Bon Jovi,0.534,0.891,0,-3.768,1,0.0337,0.0738,0.000249,0.242,0.793,122.521
Bitter Sweet Symphony,The Verve,0.356,0.913,9,-6.015,1,0.0499,0.0339,0.0,0.221,0.537,171.157
I Was Made For Lovin' You,KISS,0.771,0.847,4,-6.216,1,0.0383,0.21,6.45e-05,0.0759,0.886,128.385
Under the Bridge,Red Hot Chili Peppers,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275
Overcome,Live,0.375,0.403,9,-7.226,1,0.0279,0.779,0.42,0.099,0.193,146.283
Wind Of Change,Scorpions,0.453,0.543,0,-10.106,1,0.0366,0.297,0.0,0.0928,0.282,151.362
Speed of Sound,Coldplay,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067
Purple Rain,Prince,0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212
Streets of Philadelphia,Bruce Springsteen,0.728,0.249,5,-15.429,1,0.0328,0.327,0.216,0.0875,0.452,93.683
We Will Rock You,Queen,0.693,0.491,11,-7.262,0,0.0864,0.668,0.0,0.252,0.461,81.327
Wonderwall,Oasis,0.411,0.888,6,-4.337,0,0.0331,0.000759,0.0,0.194,0.688,174.567
Jump - 2004 Remaster,Van Halen,0.553,0.838,0,-5.824,1,0.0317,0.123,3.01e-05,0.053,0.821,129.893
Just A Girl,No Doubt,0.635,0.937,2,-2.86,1,0.0451,0.0741,7.29e-05,0.135,0.779,108.003
I Want To Break Free - Remastered 2011,Queen,0.796,0.43,4,-8.994,1,0.0325,0.0869,0.000343,0.0776,0.559,108.959
How You Remind Me,Nickelback,0.432,0.795,10,-4.023,1,0.0321,0.00128,0.0,0.101,0.519,172.011
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,0.651,0.605,9,-9.347,0,0.0268,0.219,6.06e-06,0.0526,0.654,97.985
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,0.711,0.807,1,-8.817,1,0.0456,0.206,0.000387,0.0854,0.861,118.819
Bad,Michael Jackson,0.805,0.88,8,-4.403,1,0.0453,0.00777,0.252,0.0763,0.353,114.135
I'll Be Missing You (feat. Faith Evans & 112),Diddy,0.709,0.347,0,-9.055,1,0.0676,0.548,0.00263,0.121,0.37,109.882
Set Fire to the Rain,Adele,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995
Talk,Coldplay,0.415,0.554,7,-10.839,0,0.0334,0.00541,0.00202,0.155,0.163,120.318
Pride (In The Name Of Love),U2,0.454,0.879,4,-5.44,1,0.0305,0.000861,0.00281,0.794,0.727,105.859
In the End,Linkin Park,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
Take on Me,a-ha,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
1999,Prince,0.866,0.73,5,-8.201,1,0.0767,0.137,0.0,0.0843,0.625,118.523
Boulevard of Broken Dreams,Green Day,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046
"Paint It, Black",The Rolling Stones,0.471,0.75,1,-10.877,1,0.089,0.0625,0.00221,0.323,0.61,159.038
I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
Knockin' On Heaven's Door,Guns N' Roses,0.492,0.766,6,-6.281,1,0.0393,0.0236,0.00532,0.0988,0.367,132.693
Kayleigh - Single Edit,Marillion,0.612,0.541,2,-8.835,1,0.0305,0.364,0.000539,0.0872,0.64,106.71
Everybody's Changing,Keane,0.522,0.789,0,-5.126,1,0.0282,0.0016,0.00107,0.0995,0.444,94.018
Tears in Heaven,Eric Clapton,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744
Fairground,Simply Red,0.695,0.832,6,-5.125,1,0.0428,0.222,0.0687,0.155,0.653,122.792
Everybody Hurts,R.E.M.,0.254,0.383,2,-8.036,1,0.0282,0.614,0.0237,0.172,0.178,188.2
Blurred Lines,Robin Thicke,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998
Iris,The Goo Goo Dolls,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667
Who Wants To Live Forever - Remastered 2011,Queen,0.182,0.388,4,-8.672,0,0.0324,0.544,0.00134,0.114,0.0392,139.276
(Everything I Do) I Do It For You,Bryan Adams,0.518,0.47,1,-8.692,1,0.0273,0.0665,1.24e-05,0.0792,0.247,131.214
Why Does My Heart Feel So Bad?,Moby,0.598,0.562,7,-9.007,1,0.0365,0.00608,0.0718,0.335,0.0687,97.998
I Follow Rivers - Live @ Giel! - VARA/3FM,Triggerfinger,0.838,0.504,7,-8.913,0,0.0487,0.04,0.0,0.0156,0.698,110.023
Dreadlock Holiday,10cc,0.847,0.441,7,-11.886,0,0.06,0.407,0.000345,0.189,0.934,104.986
This Love,Maroon 5,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05
Music,John Miles,0.272,0.356,4,-12.741,1,0.029,0.145,0.499,0.44,0.238,82.342
Keep on Loving You,REO Speedwagon,0.316,0.739,0,-5.843,1,0.0338,0.036,0.0,0.187,0.371,174.903
True - Single Edit,Spandau Ballet,0.742,0.533,0,-9.098,1,0.0288,0.459,0.148,0.064,0.391,97.395
Stayin' Alive - Remastered Version,Bee Gees,0.675,0.899,10,-6.124,0,0.0418,0.0696,0.000139,0.33,0.91,103.683
Heaven For Everyone,Queen,0.595,0.449,0,-10.285,1,0.0295,0.306,0.0,0.154,0.334,110.217
Need You Tonight,INXS,0.797,0.626,0,-7.231,1,0.0843,0.0537,0.486,0.0832,0.811,108.699
Frozen,Madonna,0.591,0.736,1,-7.722,1,0.0336,0.511,0.00304,0.179,0.29,108.011
Still Got The Blues,Gary Moore,0.191,0.615,9,-6.274,0,0.0369,0.164,0.000172,0.0627,0.301,165.464
Rhythm Is A Dancer,SNAP!,0.756,0.656,9,-14.853,0,0.0338,0.21,0.218,0.0889,0.876,124.364
Dani California,Red Hot Chili Peppers,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184
The Winner Takes It All,ABBA,0.434,0.79,6,-6.444,1,0.0365,0.219,0.00482,0.0441,0.467,125.686
Here Without You,3 Doors Down,0.551,0.543,10,-6.765,0,0.0249,0.0587,0.0,0.131,0.213,144.001
She's The One,Robbie Williams,0.243,0.609,10,-8.451,1,0.0323,0.663,1.13e-05,0.221,0.333,166.668
Red Red Wine - Remastered,UB40,0.863,0.408,1,-10.558,1,0.0505,0.00334,9.56e-06,0.224,0.819,89.127
Enter Sandman,Metallica,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
Englishman In New York,Sting,0.682,0.46,9,-13.124,1,0.0366,0.421,2.04e-05,0.11,0.663,102.016
Wake Me Up - Radio Edit,Avicii,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
Forever Young,Alphaville,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",Eric Clapton,0.51,0.389,2,-14.317,0,0.0384,0.286,0.000398,0.644,0.621,94.04
Kiss from a Rose,Seal,0.584,0.533,10,-7.11,0,0.0305,0.684,0.0,0.306,0.224,131.745
Please Don't Leave Me,P!nk,0.59,0.842,6,-4.491,1,0.0372,0.0114,0.0,0.322,0.783,138.026
Dancing in the Moonlight,Toploader,0.639,0.845,0,-3.333,0,0.0372,0.0528,0.0,0.336,0.871,119.48
"Just Can't Get Enough - Live at Rose Bowl, Pasadena, CA - June 18, 1988",Depeche Mode,0.632,0.962,7,-8.995,1,0.0407,0.119,0.0132,0.639,0.965,128.085
Another Part of Me - Single Version,Michael Jackson,0.768,0.887,1,-4.227,1,0.0692,0.131,0.00599,0.162,0.82,110.112
You're Beautiful,James Blunt,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998
I Want to Know What Love Is - 2008 Remaster,Foreigner,0.48,0.529,6,-7.825,1,0.0275,0.17,4.27e-06,0.257,0.469,81.527
Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,0.495,0.933,11,-3.977,1,0.395,0.0294,0.0,0.503,0.815,173.414
Everything About You,Ugly Kid Joe,0.494,0.784,1,-8.922,1,0.0505,0.00915,1.89e-06,0.118,0.773,122.469
You Oughta Know,Alanis Morissette,0.66,0.831,4,-8.195,1,0.0557,0.204,0.0,0.736,0.43,105.32
Easy,Commodores,0.579,0.519,10,-10.235,0,0.0313,0.229,0.000793,0.14,0.298,132.215
Fight For Your Right,Beastie Boys,0.669,0.76,8,-10.301,1,0.0344,0.138,0.0115,0.0876,0.591,133.7
Otherside,Red Hot Chili Peppers,0.459,0.795,0,-3.265,1,0.0575,0.00316,0.000202,0.0751,0.513,123.23
Black or White - Single Version,Michael Jackson,0.743,0.89,4,-4.08,1,0.0495,0.0747,0.0574,0.0707,0.946,114.877
When Doves Cry,Prince,0.875,0.882,9,-11.219,0,0.05,0.0178,1.37e-05,0.35,0.874,126.574
Come As You Are,Nirvana,0.5,0.832,4,-6.281,0,0.0325,8.36e-05,0.00655,0.0924,0.553,120.066
Hung Up,Madonna,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992
Wicked Game - Remastered,Chris Isaak,0.664,0.553,9,-7.723,1,0.0264,0.743,0.00978,0.0838,0.287,112.52
Fragile,Sting,0.327,0.31,11,-15.353,0,0.035,0.908,0.274,0.122,0.28,83.222
Like The Way I Do,Melissa Etheridge,0.591,0.931,2,-4.84,0,0.0557,0.0215,0.0,0.122,0.672,101.548
Porcelain,Moby,0.564,0.628,0,-7.635,0,0.0287,0.000937,0.114,0.426,0.276,94.991
Little Lies,Fleetwood Mac,0.63,0.688,2,-9.816,1,0.0266,0.124,4.78e-05,0.158,0.893,124.825
Always,Bon Jovi,0.373,0.678,4,-5.528,1,0.0325,0.143,0.0,0.168,0.346,141.42
Crazy,Seal,0.633,0.858,11,-7.42,0,0.0473,0.208,0.0114,0.0655,0.725,102.559
Played-A-Live (The Bongo Song),Safri Duo,0.63,0.97,8,-9.553,0,0.0598,0.0165,0.907,0.348,0.195,138.014
Thunder In My Heart,Leo Sayer,0.694,0.834,9,-5.244,0,0.0562,0.00105,0.163,0.129,0.507,128.911
Private Dancer - Single Edit,Tina Turner,0.639,0.669,4,-7.574,0,0.0507,0.225,0.00117,0.1,0.57,116.22
Hedonism - Just Because You Feel Good,Skunk Anansie,0.564,0.53,5,-9.463,1,0.0284,0.0878,8.62e-05,0.165,0.312,80.566
The Logical Song,Supertramp,0.627,0.672,5,-9.242,0,0.0446,0.606,0.000152,0.102,0.734,119.791
Rock DJ - 2004 Mix,Robbie Williams,0.709,0.768,7,-4.274,1,0.0324,0.0229,0.0,0.417,0.869,103.036
Weather With You,Crowded House,0.649,0.742,2,-8.912,1,0.0267,0.143,0.0,0.166,0.934,93.961
We Are The Champions,Queen,0.483,0.493,10,-7.021,1,0.0295,0.412,0.0,0.115,0.2,95.346
The Best,Tina Turner,0.664,0.747,0,-10.412,1,0.0287,0.0351,0.0161,0.103,0.767,103.801
Heaven Must Be Missing An Angel - Pt. 1,Tavares,0.612,0.749,9,-9.209,0,0.0345,0.00716,0.0,0.393,0.969,116.791
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,0.7,0.84,1,-4.805,1,0.0642,0.00248,0.000427,0.116,0.899,105.841
Josephine - New Version 2008,Chris Rea,0.657,0.706,7,-10.187,1,0.0232,0.0134,0.000198,0.569,0.77,107.975
Into the Groove,Madonna,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467
Joan Of Arc (Maid Of Orleans),Orchestral Manoeuvres In The Dark,0.522,0.533,8,-14.142,1,0.0342,0.0724,0.69,0.0456,0.348,109.649
Why Can't This Be Love,Van Halen,0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236
Behind Blue Eyes,Limp Bizkit,0.58,0.493,7,-6.265,1,0.0268,0.514,0.0,0.126,0.112,120.386
Hot N Cold,Katy Perry,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032
If You Leave Me Now - 2007 Remaster,Chicago,0.506,0.427,11,-10.344,1,0.0269,0.161,8.88e-05,0.0868,0.335,104.27
Owner Of A Lonely Heart,Yes,0.736,0.734,7,-7.978,1,0.0339,0.251,0.00306,0.306,0.915,125.011
Head over Feet,Alanis Morissette,0.531,0.859,0,-4.866,1,0.0639,0.0678,0.0,0.101,0.443,80.309
