title,artist
I Dreamed Of A Hill-Billy Heaven,Eddie Dean
Don't Take It So Hard,"Earl ""Connelly"" King"
Ave Maria No Morro,Claude Robin
Rollin' Stone,The Marigolds
Cafe Socaite,Jorge Veiga
Die Gipsy-Band,Bibi Johns
Scapricciatiello,Aurelio Fierro
"Jim, Johnny & Jonas",Hula Hawaiian Orchestra
Lonely Nights,The Hearts
There Goes That Train,Rollee McGill
Hard To Get,Gisele MacKenzie
Everywhere,David Wilcox
Chop Chop Boom,The Danderliers
Mama Talk To Your Daughter,J.B. Lenoir
The Things That I Used to Do,Guitar Slim
Earth Angel,The Penguins
Don't Drop It,Terry Fell
Happy Wanderer,The Obernkirchen Children's Choir
Sh-Boom (Life Could Be a Dream),The Chords
Release Me,Jimmy Heap
Hernando's Hideaway,Archie Bleyer
The High & The Mighty,Victor Young & His Orchestra
If You Don't Somebody Else Will,Jimmy & Johnny
Happy Wanderer,Frank Weir
You All Come,Arlie Duff
I Get So Lonely (When I Dream About You),The Four Knights
Teach Me Tonight,The de Castro Sisters
"Good Deal, Lucille",Al Terry
Darling Dear,The Counts
Am 30. Mai ist der Weltuntergang,Golgowsky-Quartett
Schuster Bleib Bei Deinen Leisten,Werner Dies
Heideroslein,Friedel Hensch
Wir Wir Wir Haben Ein Klavier,Zehn Whiskys Und Ein Soda
Oop Shoop,Shirley Gunter & The Queens
Mambo Italiano,Ellie Russell
Le Petit Cordonnier,Francis Lemarque
Te voglio bene (tanto tanto),Renato Rascel
Etranger Au Paradis,Gloria Lasso
"Hi Lili, Hi Lo",Leslie Caron & Mel Ferrer
"Backward, Turn Backward",Pee Wee King & His Golden West Cowboys
The High & The Mighty,Leroy Holmes
Never,Marilyn Tuttle
Skokiaan,Ralph Marterie
"What It Was, Was Football",Andy Griffith
Le Grisbi,Jean Wetzel
Woman (Uh - Huh),José Ferrer
Heart of Stone,Charms
River of No Return,Marilyn Monroe
That's All I Want From You,Jaye P. Morgan
Saca-Rolha,Zé da Zilda
I Forgot More Than You'll Ever Know,The Davis Sisters
The Song From Moulin Rouge (Where Is Your Heart),Percy Faith Orchestra
Sad Hours,Little Walter & His Night Cats
St George & the Dragonette,Stan Freberg
Dream Girl,Jesse & Marvin
Anna (The Baion),Silvana Mangano
Crying in the Chapel,June Valli
Nadine,The Coronets
How Much is That Doggy in the Window?,Lita Roza
"Mama, Come Get Your Baby Boy",Albert Lee
Too Young To Tango,Sunshine Ruby
Broken Wings,Art & Dotty Todd
Poppa Piccolino,Diana Decker
Is It a Dream,The Vocaleers
Gee,The Crows
Es hangt ein Pferdehalfter an der Wand,Kilima hawaiians
Keine Angst vor grossen Tieren,Michael Jary
Tipitina,Professor Longhair
In A Golden Coach (There's A Heart Of Gold),Billy Cotton & His Band
I Saw Mommy Kissing Santa Claus,The Beverley Sisters
Hound Dog,Big Mama Thornton
Get It,The Royals
Till I Waltz Again With You,Tommy Sosebee
Banana Split,Kid King’s Combo
Whoopin' and Hollerin',Earl Forest
Crying in the Chapel,Darrell Glenn
"Train, Train, Train",Danny Overbea
I Found Out More Than You Ever Knew,Betty Cody
Marriage Of Mexican Joe,Carolyn Bradshaw
Daughter (That's Your Red Wagon),Sax Kari Orchestra
Baby I'm Doin' It,Annisteen Allen
I'm Glad,Mitzi Mars
My Kind of Woman,Emitt Slay Trio
You're Mine,The Crickets
Tin Pan Alley,Jimmy Wilson
Terry's Theme From 'Limelight',Ron Goodwin
Blue Tango,Leroy Anderson
It's in The Book,Johnny Standley
Got You on My Mind,Big John Greer
Diane,Buddy Lucas and His Band of Tomorrow
Auf Wiederseh'n Sweetheart,Eddy Howard & His Orchestra
Port of Rico,Illinois Jacquet and His Orchestra
I'm Gonna Play the Honky Tonks,Marie Adams
Singin' in the Rain,Gene Kelly
Heavenly Father,Edna McGriff
"Rote Rosen, rote Lippen, roter Wein",Reno Carol
Lata D'agua,Marlene
Anema E Core (With All My Heart And Soul),Roberto Murolo
Goodbye Baby,Little Caesar
My Heart's Desire,Jimmie Lee
Night Train,Buddy Morrow
Where Are You (Now That I Need You),The Mello-Moods
Every Day I Have the Blues,Joe Williams
Wheel of Fortune,Bobby Wayne
Saddle The Cow (And Milked The Horse),Roscoe Gordon & His Orchestra
Slow Poke,Helen O’Connell
Ninguem Me Ama,Nora Ney
Paris Canaille,Catherine Sauvage
Be Anything - Be Mine,Wini Brown
"Worry, Worry, Worry",Joe Houston
The Children's Marching Song,The Sauter-Finegan Orchestra
Oh Happy Day,Don Howard
Wheel of Fortune,Eddie Wilcox
T 99 Blues,"Jimmy ""T99"" Nelson"
Chica Boo,Lloyd Glenn
Tennessee Waltz,Anita O’Day
Tend to Your Business,James Waynes
"Beloved, Be Faithful",Teddy Johnson
The Petite Waltz,Billy Cotton
I Will Wait,The Four Buddies
Down Yonder,Champ Butler
Down Yonder,Del Wood
Rocket 88,Jackie Brenston
Hot Rod Race,Arkie Shibley
Sweet Violets,Jane Turzy
Too Young,Toni Arden
Hey Little Girl,John Godfrey Trio
Once There Lived a Fool,Jimmy Grissom
The Loveliest Night Of The Year,Ann Blyth
Un Poco Loco,Bud Powell
I'd Rather Drink Muddy Water (And Sleep in a Hollow Log),Grant Jones
Un Gamin De Paris,Mick Micheyl
Hoppin',The Griffin Brothers
Go! Go! Go!,The Treniers
Third Man Theme,Anton Karas
If I Knew You Were Comin' I'd Have Baked a Cake,Eileen Barton
Hop Scotch Polka,Billy Whitlock
Rockin' Blues,Johnny Otis & His Orchestra
Autumn Leaves (Les Feuilles Mortes),Yves Montand
"Cry, Cry Baby","Ed Wiley, Jr."
3 x 7 = 21,Jewel King
I'm Yours to Keep,Herb Fisher
Tenderly,Lynn Hope
Cerisier Rose & Pommier Blanc,André Claveau
Bald Head,Roy Byrd & His Blues Jumpers
Mona Lisa,Dennis Day
Rag Mop,Ralph Flanagan
Slippin' Around with Jole Blon,Bud Messner
Lose Your Blues,Red Kirk
Cry of the Dying Duck in a Thunderstorm,Cactus Pryor
I Love You My Darlin',Joe Fritz
Bewitched (bothered & bewildered),Bill Snyder
Steal Away,Red Red Meat
Bon Ton Roula,Clarence Garlow
Antonico,Alcides Gerardi
Easter Boogie,Freddie Mitchell and His Orchestra
Rag Mop,Johnnie Lee Wills
A Prison Without Walls,Afterworld
Bewitched (bothered & bewildered),Larry Green and His Orchestra
Safronia B,Calvin Boze & His All Stars
Olhos Verdes,Dalva de Oliveira
Love For Christmas,Felix Gross
Our Father (Which Art in Heaven),The Five Blind Boys of Mississippi
Stak-A'Lee (Parts I & II),Archibald
After Hour Session,Frank Culley
My Foolish Heart,Mindy Carson
April In Portugal (The Whisp'ring Serenade),Yvette Giraud
Ave Maria,Trio de Ouro
Surriento d' 'e 'nnammurate,Sergio Bruni
In the Year 2525 (Exordium & Terminus),Zager & Evans
Something in the Air,Thunderclap Newman
Oh Happy Day,Edwin Hawkins Singers
Je T'Aime (Moi Non Plus),Jane Birkin
Color Him Father,The Winstons
Israelites,Desmond Dekker
Black Pearl,"The Checkmates, Ltd."
Nothing but a Heartache,The Flirtations
Where Do You Go to My Lovely?,Peter Sarstedt
Lily the Pink,The Scaffold
Israelites,Desmond Dekker & The Aces
Polk Salad Annie,Tony Joe White
Jealous Kind of Fella,Garland Green
Only One Woman,The Marbles
Natural Born Bugie,Humble Pie
Crumbs Off The Table,The Glass House
Get Together,The Youngbloods
Reconsider Me,Johnny Adams
Take a Letter Maria,R.B. Greaves
Nobody But You Babe,Clarence Reid
Si tu dois partir,Fairport Convention
Worst That Could Happen,The Brooklyn Bridge
Oh Lady Mary,David Alexandre Winter
In a Moment,The Intrigues
You Got To Pay The Price,Gloria Ann Taylor
Smile A Little Smile For Me,The Flying Machine
Put a Little Love in Your Heart,Jackie DeShannon
Grazing in the Grass,Hugh Masekela
Judy in Disguise (With Glasses),John Fred & His Playboy Band
Soulful Strut,Young–Holt Unlimited
Green Tambourine,The Lemon Pipers
The Good the Bad & the Ugly,Hugo Montenegro
Here Comes the Judge,Frederic Earl 'Shorty' Long
Angel of the Morning,Merrilee Rush
Born Free,The Hesitations
MacArthur Park,Richard Harris
Baby Come Back,The Equals
Love Makes a Woman,Barbara Acklin
Sweet Inspiration,The Sweet Inspirations
Cinderella Rockefella,Esther & Abi Ofarim
Light My Fire,José Feliciano
Summertime Blues,Blue Cheer
I Ain't Got To Love Nobody Else,The Masqueraders
Journey to the Center of the Mind,The Amboy Dukes
The Unicorn,The Irish Rovers
Talking About My Baby,Gloria Walker
Tip-Toe Thru' the Tulips with Me,Tiny Tim
Classical Gas,Mason Williams
Dream a Little Dream of Me,Cass Elliot
God Bless Our Love,The Ballads
Monja,Roland W.
Does Your Mama Know About Me,Bobby Taylor
Jesamine,Casuals
Flower Of Love,Leon Ashley
In-A-Godda-Da-Vida,Iron Butterfly
Spooky,Classics IV
The Funky Judge,Bull and the Matadors
Soul Serenade,Willie Mitchell
Little Green Apples,Ocie Smith
Girl Watcher,The O’Kaysions
The Horse,Cliff Nobles & Co.
San Francisco (Wear Some Flowers in Your Hair),Scott McKenzie
Expressway (To Your Heart),The Soul Survivors
Make Me Yours,Bettye Swann
Friday On My Mind,The Easybeats
Tramp,The Otis and Carla Band
Expressway to Your Heart,Soul Survivors
Boogaloo Down Broadway,The Fantastic Johnny C
Gimme Little Sign,Brenton Wood
(I Wanna) Testify,The Parliaments
Nobody but Me,The Human Beinz
I Was Kaiser Bill's Batman,Whistling Jack Smith
Mama Spank,Liz Anderson
Kind of a Drag,The Buckinghams
Nothing Takes The Place Of You,Toussaint McCall
For Your Precious Love,Oscar Toney Jr.
"Apples, Peaches, Pumpkin Pie",Jay and The Techniques
Little Old Wine Drinker Me,Robert Mitchum
Incense & Peppermints,Strawberry Alarm Clock
Ode To Billie Joe,The Kingpins
It Must Be Him (Seul Sur Son Etoile),Vikki Carr
The Whole World Is A Stage,The Fantastic Four
Pata Pata,Miriam Makeba
Excerpt From 'A Teenage Opera',Keith West
Next Plane to London,The Rose Garden
Death of a Clown,Dave Davies
Little Bit O' Soul,The Music Explosion
Deep Water,Carl Mann
And the Beat Goes On,Sonny Criss
Repeat After Me,Jack Reno
Flowers in the Rain,The Move
Baby Please Come Back Home,J.J. Barnes
Cassanova (You're Playing Days Are Over),Ruby Andrews
The Sweetest Thing This Sound Of Heaven,Chris Bartley
Everlasting Love,Robert Knight
Western Union,The Five Americans
Gallant Men,Senator Everett McKinley Dirksen
I Fought the Law,The Bobby Fuller Four
Winchester Cathedral,New Vaudeville Band
Black is Black,Los Bravos
Tippy Toeing,The Harden Trio
Baby Scratch My Back,Slim Harpo
Wade in the Water,Ramsey Lewis
Ballad of the Green Berets,Barry Sadler
Double Shot (of My Baby's Love),The Swingin’ Medallions
Pied Piper,Crispian St. Peters
Barefootin',Robert Parker
Open the Door to Your Heart,Darrell Banks
Stand by Me,Spyder Turner
Cool jerk,The Capitols
But It's Alright,J.J. Jackson
Dear Mrs Applebee,David Garrick
She Blew a Good Thing,The Poets
Gloria,The Shadows of Knight
Sunny,Bobby Hebb
Love Makes the World Go Round,Deon Jackson
See You in September,The Happenings
Out of Time,Chris Farlowe
Shotgun Wedding,Roy C
Talk Talk,The Music Machine
A Groovy Kind of Love,The Mindbenders
The Sun Ain't Gonna Shine (Anymore),The Walker Brothers
Lightnin' Strikes,Lou Christie
Hey Joe,The Leaves
Michelle,The Overlanders
Your Good Thing (Is About To End),Mable John
Ganz in weiss,Roy Black
Somewhere My Love,Ray Conniff
Dirty Water,The Standells
I'll Love You Forever,The Holidays
That's Enough,Roscoe Robinson
Searching for My Love,Bobby Moore & The Rhythm Aces
Red Rubber Ball,The Cyrkle
Wang Dang Doodle,Koko Taylor
Guantanamera,The Sandpipers
Day Tripper,The Vontastics
Are You Lonely for Me,Freddie Scott
I'm A Nut,Leroy Pullins
Giddyup Go - Answer,Minnie Pearl
Les Playboys,Jacques Dutronc
Juanita Banana,The Peels
"Love Me, Please Love Me",Michel Polnareff
I'm Your Puppet,James & Bobby Purify
"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor
They're Coming to Take Me Away Ha-Haaa!,Napoleon XIV
Psychotic Reaction,Count Five
Il Silenzio,Nini Rosso
Land of 1000 Dances,Cannibal & The Headhunters
Eve of Destruction,Barry McGuire
Hello Vietnam,Johnny Wright
Treat Her Right,Roy Head
Aline,Christophe
Ode To The Little Brown Shack Out Back,Billy Edd Wheeler
Hang On Sloopy,The McCoys
Twine Time,Alvin Cash & The Crawlers
"Poupee De Cire, Poupee De Son",France Gall
The Birds & the Bees,Jewel Akens
I'm Telling You Now,Freddie & the Dreamers
The Duck,Jackie Lee
A Lover's Concerto,The Toys
This Diamond Ring,Gary Lewis & the Playboys
"Oo Wee Baby, I Love You",Fred Hughes
The Boy from New York City,The Ad Libs
Lies,The Knickerbockers
New York's a Lonely Town,The Trade Winds
Capri C'est Fini,Hervé Vilard
Il Mondo,Jimmy Fontana
La Danse De Zorba,Mikis Theodorakis And His Orchestra
I Can't Work No Longer,Billy Butler & The Chanters
The Game of Love,Wayne Fontana
Shame & Scandal in the Family,Shawn Elliot
Hole in the Wall,The Packers
Take Me in Your Arms (Rock Me a Little While),Kim Weston
Soul Heaven,The Dixie Drifter
Cast Your Fate to the Wind,Sounds Orchestral
I Do,The Marvelows
Early Bird,André Brasseur
N'avoue Jamais,Guy Mardel
It's A Man Down There,G.L. Crockett
Certain,Bill Nelson
This Strange Effect,Dave Berry
Hold On Baby,Sam Hawkins
Michael,C.O.D's
Who Do I Think I Am,Woods
The Entertainer,Tony Clarke
Concrete & Clay,Unit 4+2
Country Guitar,Phil Baugh
Io che non vivo (senza te),Pino Donaggio
Only Those In Love,Baby Washington
Voice Your Choice,The Radiants
Non Ho L'Eta Per Amarti,Gigliola Cinquetti
Funny (How Time Slips Away),Joe Hinton
"Memphis, Tennessee",Johnny A.
Every Little Bit Hurts,Brenda Holloway
(Just Like) Romeo & Juliet,The Reflections
The Lumberjack,Hal Willis
Liebeskummer lohnt sich nicht,Siw Malmkvist
Bread & Butter,The Newbeats
Farmer John,The Premiers
Hi-Heel Sneakers,Tommy Tucker
Wish Someone Would Care,Irma Thomas
Tobacco Road,The Nashville Teens
Have I the Right,The Honeycombs
Hippy Hippy Shake,The Swinging Blue Jeans
Harlem Shuffle,Bob & Earl
Twine Time,Alvin Cash
Suspicion,Terry Stafford
Selfish One,Jackie Ross
Oh My Darling Caroline,Ronny
The French Song (Quand Le Soleil Dit Bonjour Aux Montagnes),Lucille Starr
In ginocchio da te,Gianni Morandi
"Das kommt vom Rudern, das kommt vom Segeln",Peter Lauch & die Regenpfeifer
Right or Wrong,Ronnie Dove
The Wedding,Julie Rogers
Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers
I Wanna Love Him So Bad,The Jelly Beans
Ringo,Lorne Greene
Dern Ya,Ruby Wright Wells
Little Children,Billy J. Kramer and The Dakotas
You're My World,Cilla Black
The Last Kiss,J. Frank Wilson & The Cavaliers
Java,Al Hirt
J'y Pense et Puis J'oublie,Claude François
Ebb Tide,Lenny Welch
"Chit Akins, Make Me A Star",Don Bowman
Hawaii Tattoo,The Waikikis
California Sun,The Rivieras
Surfin' Bird,The Trashmen
Dominique,Sœur Sourire
Sugar Shack,The Fireballs
(Today I Met) The Boy I'm Gonna Marry,Darlene Love
Maria Elena,Los Índios Tabajaras
I Will Follow Him,Peggy March
Mama Didn't Lie,Jan Bradley
Cry Baby,Garnet Mimms
Wipe Out,The Surfaris
The Love Of My Man,Theola Kilgore
Rhythm of the Rain,The Cascades
Just One Look,Doris Troy
What Kind of Fool (Do You Think I Am),The Tams
Ich kauf' mir lieber einen Tirolerhut,Billy Mo
T For Texas,Grandpa Jones
Schuld war nur der Bossa Nova,Manuela
Hello Trouble,Orville Couch
Wini-Wini,Die Tahiti‐Tamourés
Our Day Will Come,Ruby & The Romantics
Killer Joe,The Rocky Fellers
Walk Right In,The Rooftop Singers
My Boyfriend's Back,The Angels
I'm Leaving it (All) Up to You,Dale & Grace
"Mr. Heartache, Move On",Coleman O'Neal
Blame it On the Bossa Nova,Eydie Gormé
Memphis,Lonnie Mack
If You Wanna Be Happy,Jimmy Soul
Deep Purple,Nino Tempo & April Stevens
Se mi vuoi lasciare,Michelle
Happy To Be Unhappy,Gary Buck
Pipeline,The Chantays
Go Away Little Girl,Steve Lawrence
Easier Said Than Done,The Essex
Mockingbird,Inez & Charlie Foxx
Tell Him,The Exciters
Talk to Me,Sunny & the Sunliners
Hello Muddah Hello Faddah,Allan Sherman
Dansevise,Grethe Ingmann
You Don't Have to Be a Baby to Cry,The Caravelles
Please Talk To My Heart,"Johnny ""Country"" Mathis"
My Man - He's A Lovin' Man,Betty Lavett
Fool Me Once,Connie Hall
"Sally, Go 'Round the Roses",The Jaynetts
Robert E. Lee,Ott Stephens
How Can I Forget,Jimmy Holiday
Shoes Of A Fool,Bill Goodwin
Watermelon Man,Mongo Santamaría
Tie Me Kangaroo Down Sport,Rolf Harris
The Way It Feels To Die,Vernon Stewart
A Stranger Was Here,Darrell McCall
O mio signore,Edoardo Vianello
Telstar,The Tornados
Let's Dance,Chris Montez
Old Rivers,Walter Brennan
Stranger On the Shore,Acker Bilk
Zwei kleine Italiener,Conny Froboess
Green Onions,Booker T. Jones
Do You Love Me?,The Contours
Wild Weekend,The Rockin' Rebels
The Monster Mash,Bobby “Boris” Pickett & The Crypt Kickers
Jamie,Eddie Holland
You'll Lose a Good Thing,Barbara Lynn
Tanze mit mir in den Morgen,Gerhard Wendland
Village of Love,Nathaniel Mayer
Midnight in Moscow,Kenny Ball & His Jazzmen
Hey Baby,Bruce Channel
Johnny Angel,Shelley Fabares
My Dad,Paul Petersen
Sweety,Peter Kraus
Norman,Sue Thompson
I Know (You Don't Love Me No More),Barbara George
Loop De Loop,Johnny Thunder
I'm Blue (The Gong-Gong Song),The Ikettes
Silver Threads And Golden Needles,The Springfields
Love Letters,Ketty Lester
Then A Tear Fell,Earl Scott
Walk on the Wild Side,Jimmy Smith
"Quando, Quando, Quando",Tony Renis
I Guess I'll Never Learn,Charlie Phillips
Alley Cat Song,Bent Fabric
I've Got a Woman (Part 1),Jimmy McGriff
Party Lights,Claudine Clark
Al Di La,Emilio Pericoli
You Belong to Me,The Duprees
What's Your Name?,Don & Juan
Shout Shout (Knock Yourself Out),Ernie Maresca
(I'm the Girl From) Wolverton Mountain,Jo Ann Campbell
Let Me In,The Sensations
Un Clair de Lune a Maubeuge,Pierre Perrin
Lookin' For A Love,The Valentinos
Blue Moon,The Marcels
Michael Row the Boat,The Highwaymen
Mexico,Bob Moore
Baby Sittin' Boogie,Buzz Clifford
A Little Bit of Soap,The Jarmels
Wonderland By Night,Bert Kaempfert & His Orchestra
Pepito,Los Machucambos
The Lion Sleeps Tonight,The Tokens
Take Five,Dave Brubeck
Wheels,The String-A-Longs
Hello Fool,Ralph Emery
Gonzo,James Booker
Soothe Me,The Simms Twins
I'm Gonna Knock On Your Door,Eddie Hodges
Are You Sure?,The Allisons
Mother-In-Law,Ernie K‐Doe
Hurt,Timi Yuro
Der Mann im Mond,Gus Backus
Tower of Strength,Frankie Vaughan
Johnny Remember Me,John Leyton
Too Many Times,Don Winters
Goodbye Cruel World,James Darren
Pretty Little Angel Eyes,Curtis Lee
There's a Moon Out Tonight,The Capris
Smoky Places,The Corsairs
Nous Les Amoureux,Jean‐Claude Pascal
Tuff,Ace Cannon
Baby Sittin' Boogie,Ralf Bendix
This Time,Troy Shondell
The Mountain's High,Dick & Dee Dee
You're The Reason,Bobby Edwards
Who Put the Bomp (In the Bomp-A-Bomp-A-Bomp),Barry Mann
Last Night,The Mar‐Keys
My True Story,The Jive Five
Apache,Jørgen Ingmann
I Like it Like That,Chris Kenner
One Grain Of Sand,The Saints
Don't Let Your Sweet Love Die,Reno and Smiley
I've Told Every Little Star,Linda Scott
Anywhere There's People,Lawton Williams
Barbara Ann,The Regents
If You Gotta Make a Fool of Somebody,James Ray
A Scottish Soldier (Green Hills of Tyrol),Andy Stewart
Marina,Rocco Granata
A Thousand Stars,Kathy Young
Fannie Mae,Buster Brown
Ramona,The Blue Diamonds
Mountain of Love,Harold Dorman
There's Something on Your Mind (Part 2),Bobby Marchan
Ooh Poo Pah Do (Part 2),Jessie Hill
Stay,Maurice Williams & The Zodiacs
Banjo Boy,Jan & Kjeld
"Seemann, deine Heimat ist das Meer",Lolita
Greenfields,The Brothers Four
Mustapha,Bob Azzam
Alley-oop,The Hollywood Argyles
Teen Angel,Mark Dinning
Wonderland by Night,Bert Kaempfert
"You're Sixteen, You're Beautiful (And You're Mine)",Johnny Burnette
Wir wollen niemals auseinandergehn,Heidi Brühl
Moonlight,Ted Herold
I Want To Know,Sugar Pie DeSanto
Itsy Bitsy Teeny Weeny Honolulu Strandbikini,Club Honolulu
The Ballad Of Wild River,Gene Woods
Hot Rod Lincoln,Charlie Ryan
The Picture,Ray Godfrey
Cruel Love,Lou Smith
The Madison Time - Part 1,The Ray Bryant Combo
Money (That's What I Want),Barrett Strong
Never On Sunday,Don Costa
Don't Go To Strangers,Etta Jones
Mule Skinner Blues,The Fendermen
Tell Laura I Love Her,Ricky Valance
The Long Walk,Bill Leatherwood
Here I Am Drunk Again,Clyde Beavers
You Talk Too Much,Joe Jones
Sixteen Reasons,Connie Stevens
Pinball Machine,Lonnie Irving
Les enfants du piree (Never On Sunday),"Maria Amalia ""Melina"" Mercouri"
(Do The) Mashed Potatoes (Part 1),Nat Kendrick & The Swans
Look For a Star,Garry Mills
A Million to One,Jimmy Charles
Angel Baby,Rosie & The Originals
Il Nostro concerto,Umberto Bindi
Tom Pillibi,Jacqueline Boyer
Let the Little Girl Dance,Billy Bland
The Moon Is Crying,Allan Riddle
Paper Roses,Anita Bryant
He'll Have to Stay,Jeanne Black
Mr Custer,Larry Verne
Born to Be Alive,Patrick Hernandez
Pop Muzik,M
Ring My Bell,Anita Ward
Knock On Wood,Amii Stewart
Video Killed the Radio Star,Buggles
"Yes, I'm Ready",Teri DeSario
You're Only Lonely,J.D. Souther
Stumblin' In,Chris Norman
Just Good Ol' Boys,Moe Bandy & Joe Stampley
Are Friends Electric?,Tubeway Army
Music Box Dancer,Frank Mills
Just When I Needed You Most,Randy VanWarmer
I Just Can't Control Myself,Nature's Divine
Ain't No Stoppin' Us Now,McFadden & Whitehead
Money,The Flying Lizards
Chuck E's in Love,Rickie Lee Jones
Firecracker,Mass Production
Lucky Number,Lene Lovich
Dancin',Grey and Hanks
Hallelujah,Milk and Honey
"Oh, Honey",Delegation
Driver's Seat,Sniff ’n’ the Tears
Lotta Love,Nicolette Larson
Why Leave Us Alone,Five Special
Hit Me With Your Rhythm Stick,Ian Dury & The Blockheads
Stay With Me,Dave Gahan
I Got My Mind Made Up,Instant Funk
It Must Be Love,Alton McClain & Destiny
Babylon's Burning,The Ruts
Crazy Love,Poco
Glide,Pleasure
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),Bonnie Pointer
Keep On Dancin',Gary’s Gang
Gold,John Stewart
Only Love Can Break A Heart,Kenny Dale
"Baby, It's You",Promises
Everytime I Think of You,The Babys
Substitute,Clout
Love is in the Air,John Paul Young
Emotion,Samantha Sang
Baby Come Back,Player
King Tut,Steve Martin
If I Can't Have You,Yvonne Elliman
Hot Child In The City,Nick Gilder
Ca Plane Pour Moi,Plastic Bertrand
The Smurf Song,The Smurfs
I Love the Nightlife,Alicia Bridges
Sometimes When We Touch,Dan Hill
Dancing in the City,Marshall Hain
A Lover's Question,Jacky Ward
You're The Greatest Lover,Luv’
Long Stroke,ADC Band
Because the Night,Patti Smith Group
Livin' It Up (Friday Night),Bell & James
Forever Autumn,Jeff Wayne
Disco To Go,The Brides of Funkenstein
Let's All Chant,The Michael Zager Band
Don't Hold Back,Chanson
Runaway Love,Linda Clifford
Now That We've Found Love,Third World
Automatic Lover,Dee D. Jackson
Bustin' Loose (Part 1),Chuck Brown & The Soul Searchers
Riding High,Faze‐O
Dance Across the Floor,Jimmy “Bo” Horne
"Let Me Party with You (Party, Party, Party)",Bunny Sigler
One For You One For Me,La Bionda
New York Groove,Ace Frehley
Feels So Good,Chuck Mangione
"Funk 'N' Roll (Dancin' In The ""Funkshine"")",Quazar
Let's Start the Dance,Hamilton Bohannon
Public Image,Public Image Ltd
Soul Man,Blues Brothers
You,The McCrarys
Don't Let Me Be Misunderstood,Santa Esmeralda
Whispering/Cherchez la Femme/Se Si Bon,Dr. Buzzard’s Original Savannah Band
Don't Cry For Me Argentina,Julie Covington
Don't Give Up On Us,David Soul
Don't Leave Me This Way,Thelma Houston
You Can't Turn Me Off (in the Middle of Turning Me On),High Inergy
Magic Fly,Space
Angel in Your Arms,Hot
Torn Between Two Lovers,Mary MacGregor
Devil's Gun,C.J. & Co
Float On,The Floaters
Star Wars Theme - Cantina Band,Meco
Fanfare for the Common Man,"Emerson, Lake & Palmer"
Smoke from a Distant Fire,Sanford & Townsend
Sometimes,The Facts of Life
Undercover Angel,Alan O’Day
Gonna Fly Now (Theme From 'Rocky'),Bill Conti
Brick House,The Hit Crew
I Will,Ruby Winters
Black Betty,Ram Jam
Let's Clean Up the Ghetto,Philadelphia International All Stars
Porque te vas,Jeanette
Under the Moon of Love,Showaddywaddy
"Somebody's Gotta Win, Somebody's Gotta Lose",The Controllers
Black is Black,Belle Epoque
Cocomotion,El Coco
Easy,The Commodores
I Remember Elvis Presley (The King is Dead),Danny Mirror
L'oiseau Et L'enfant,Marie Myriam
Superman,Celi Bee & The Buzzy Bunch
Do You Wanna Make Love?,Peter McCann
Heard It in a Love Song,The Marshall Tucker Band
Good Thing Man,Frank Lucas
Feelings,Walter Jackson
Rockcollection,Laurent Voulzy
"If It Don't Fit, Don't Force It",Kellee Patterson
I Like Dreamin',Kenny Nolan
Cheap Perfume And Candlelight,Bobby Borchers
God Save the Queen,Shellac
Don't Go Breaking My Heart,Kiki Dee
You've Got Me Runnin',Gene Cotton
A Fifth of Beethoven,Walter Murphy
Disco Duck,Rick Dees & His Cast of Idiots
Play That Funky Music,Wild Cherry
Lady Bump,Penny McLean
Moviestar,Harpo
Jeans On,David Dundas
Afternoon Delight,Starland Vocal Band
Baby Boy,Mary Kay Place
I Love to Love,Tina Charles
"More, More, More",The Andrea True Connection
Shannon,Henry Gross
Dream Weaver,Gary Wright
Good Hearted Woman,Waylon Jennings & Willie Nelson
Howzat,Sherbet
Arms of Mary,Sutherland Brothers & Quiver
Still the One,Orleans
Turn The Beat Around,Vicki Sue Robinson
You Are My Starship,Norman Connors
The Blind Man In The Bleachers,Kenny Starr
You to Me Are Everything,The Real Thing
Rocky,Frank Farian
I'm Easy,Keith Carradine
Theme from 'SWAT',Rhythm Heritage
The Best Disco in Town,The Ritchie Family
Welcome Back,John Sebastian
Home Made Love,Thom Bresh
Born To Get Down (Born To Mess Around),Muscle Shoals Horns
Love and Affection,Joan Armatrading
I Can Help,Billy Swan
"""They Just Can't Stop It"" The (Games People Play)",Spinners
Lady Marmalade,LaBelle
Chevy Van,Sammy Johns
"Shame, Shame, Shame",Shirley & Company
The Hustle,Van McCoy
The White Knight,Cledus Maggard & The Citizens Band
Love Won't Let Me Wait,Major Harris
I'm on Fire,Dwight Twilley Band
Loving You,Minnie Riperton
Dolannes-Melodie,Jean-Claude Borelly
18 with a Bullet,Pete Wingfield
Feelings,Morris Albert
I'm On Fire,5000 Volts
Ding-A-Dong,Teach‐In
Baby Face,Wing & A Prayer Fife & Drum Corps
Poetry Man,Phoebe Snow
Make Me Smile (Come Up & See Me),Steve Harley & Cockney Rebel
I Get High On You,Sly Stone
Doctor's Orders,Carol Douglas
Rockin'Chair,Gwen McCrae
To Each His Own,"Faith, Hope & Charity"
Ballroom Blitz,Brian Connolly’s Sweet
Sky High,Jigsaw
